metric,territory,gender,age,count
Total participants,New South Wales,Female,Total Females(a),2147973
Eligible participants,New South Wales,Female,Total Females(a),2641383
Participation rate (%),New South Wales,Female,Total Females(a),81.3
Total participants,Victoria,Female,Total Females(a),1736595
Eligible participants,Victoria,Female,Total Females(a),2077177
Participation rate (%),Victoria,Female,Total Females(a),83.6
Total participants,Queensland,Female,Total Females(a),1286719
Eligible participants,Queensland,Female,Total Females(a),1606508
Participation rate (%),Queensland,Female,Total Females(a),80.1
Total participants,South Australia,Female,Total Females(a),497538
Eligible participants,South Australia,Female,Total Females(a),606973
Participation rate (%),South Australia,Female,Total Females(a),82
Total participants,Western Australia,Female,Total Females(a),651036
Eligible participants,Western Australia,Female,Total Females(a),804368
Participation rate (%),Western Australia,Female,Total Females(a),80.9
Total participants,Tasmania,Female,Total Females(a),159487
Eligible participants,Tasmania,Female,Total Females(a),195163
Participation rate (%),Tasmania,Female,Total Females(a),81.7
Total participants,Northern Territory,Female,Total Females(a),41106
Eligible participants,Northern Territory,Female,Total Females(a),67766
Participation rate (%),Northern Territory,Female,Total Females(a),60.7
Total participants,Australian Capital Territory,Female,Total Females(a),123738
Eligible participants,Australian Capital Territory,Female,Total Females(a),146228
Participation rate (%),Australian Capital Territory,Female,Total Females(a),84.6
Total participants,Australia,Female,Total Females(a),6644192
Eligible participants,Australia,Female,Total Females(a),8145566
Participation rate (%),Australia,Female,Total Females(a),81.6
Total participants,New South Wales,Male,18-19 years,52118
Eligible participants,New South Wales,Male,18-19 years,69996
Participation rate (%),New South Wales,Male,18-19 years,74.5
Total participants,Victoria,Male,18-19 years,38720
Eligible participants,Victoria,Male,18-19 years,48852
Participation rate (%),Victoria,Male,18-19 years,79.3
Total participants,Queensland,Male,18-19 years,27779
Eligible participants,Queensland,Male,18-19 years,38827
Participation rate (%),Queensland,Male,18-19 years,71.5
Total participants,South Australia,Male,18-19 years,10047
Eligible participants,South Australia,Male,18-19 years,13325
Participation rate (%),South Australia,Male,18-19 years,75.4
Total participants,Western Australia,Male,18-19 years,15360
Eligible participants,Western Australia,Male,18-19 years,20479
Participation rate (%),Western Australia,Male,18-19 years,75
Total participants,Tasmania,Male,18-19 years,3298
Eligible participants,Tasmania,Male,18-19 years,4474
Participation rate (%),Tasmania,Male,18-19 years,73.7
Total participants,Northern Territory,Male,18-19 years,734
Eligible participants,Northern Territory,Male,18-19 years,1322
Participation rate (%),Northern Territory,Male,18-19 years,55.5
Total participants,Australian Capital Territory,Male,18-19 years,3241
Eligible participants,Australian Capital Territory,Male,18-19 years,4164
Participation rate (%),Australian Capital Territory,Male,18-19 years,77.8
Total participants,Australia,Male,18-19 years,151297
Eligible participants,Australia,Male,18-19 years,201439
Participation rate (%),Australia,Male,18-19 years,75.1
Total participants,New South Wales,Male,20-24 years,143088
Eligible participants,New South Wales,Male,20-24 years,204979
Participation rate (%),New South Wales,Male,20-24 years,69.8
Total participants,Victoria,Male,20-24 years,118897
Eligible participants,Victoria,Male,20-24 years,161658
Participation rate (%),Victoria,Male,20-24 years,73.5
Total participants,Queensland,Male,20-24 years,81749
Eligible participants,Queensland,Male,20-24 years,128155
Participation rate (%),Queensland,Male,20-24 years,63.8
Total participants,South Australia,Male,20-24 years,30633
Eligible participants,South Australia,Male,20-24 years,45028
Participation rate (%),South Australia,Male,20-24 years,68
Total participants,Western Australia,Male,20-24 years,42648
Eligible participants,Western Australia,Male,20-24 years,63459
Participation rate (%),Western Australia,Male,20-24 years,67.2
Total participants,Tasmania,Male,20-24 years,9156
Eligible participants,Tasmania,Male,20-24 years,13904
Participation rate (%),Tasmania,Male,20-24 years,65.9
Total participants,Northern Territory,Male,20-24 years,2519
Eligible participants,Northern Territory,Male,20-24 years,5901
Participation rate (%),Northern Territory,Male,20-24 years,42.7
Total participants,Australian Capital Territory,Male,20-24 years,9476
Eligible participants,Australian Capital Territory,Male,20-24 years,12825
Participation rate (%),Australian Capital Territory,Male,20-24 years,73.9
Total participants,Australia,Male,20-24 years,438166
Eligible participants,Australia,Male,20-24 years,635909
Participation rate (%),Australia,Male,20-24 years,68.9
Total participants,New South Wales,Male,25-29 years,141349
Eligible participants,New South Wales,Male,25-29 years,204397
Participation rate (%),New South Wales,Male,25-29 years,69.2
Total participants,Victoria,Male,25-29 years,121875
Eligible participants,Victoria,Male,25-29 years,167708
Participation rate (%),Victoria,Male,25-29 years,72.7
Total participants,Queensland,Male,25-29 years,81828
Eligible participants,Queensland,Male,25-29 years,127931
Participation rate (%),Queensland,Male,25-29 years,64
Total participants,South Australia,Male,25-29 years,30413
Eligible participants,South Australia,Male,25-29 years,45450
Participation rate (%),South Australia,Male,25-29 years,66.9
Total participants,Western Australia,Male,25-29 years,44170
Eligible participants,Western Australia,Male,25-29 years,66992
Participation rate (%),Western Australia,Male,25-29 years,65.9
Total participants,Tasmania,Male,25-29 years,8497
Eligible participants,Tasmania,Male,25-29 years,13086
Participation rate (%),Tasmania,Male,25-29 years,64.9
Total participants,Northern Territory,Male,25-29 years,3531
Eligible participants,Northern Territory,Male,25-29 years,7783
Participation rate (%),Northern Territory,Male,25-29 years,45.4
Total participants,Australian Capital Territory,Male,25-29 years,9995
Eligible participants,Australian Capital Territory,Male,25-29 years,13569
Participation rate (%),Australian Capital Territory,Male,25-29 years,73.7
Total participants,Australia,Male,25-29 years,441658
Eligible participants,Australia,Male,25-29 years,646916
Participation rate (%),Australia,Male,25-29 years,68.3
Total participants,New South Wales,Male,30-34 years,146259
Eligible participants,New South Wales,Male,30-34 years,210612
Participation rate (%),New South Wales,Male,30-34 years,69.4
Total participants,Victoria,Male,30-34 years,126194
Eligible participants,Victoria,Male,30-34 years,173516
Participation rate (%),Victoria,Male,30-34 years,72.7
Total participants,Queensland,Male,30-34 years,85305
Eligible participants,Queensland,Male,30-34 years,128125
Participation rate (%),Queensland,Male,30-34 years,66.6
Total participants,South Australia,Male,30-34 years,30942
Eligible participants,South Australia,Male,30-34 years,45702
Participation rate (%),South Australia,Male,30-34 years,67.7
Total participants,Western Australia,Male,30-34 years,48280
Eligible participants,Western Australia,Male,30-34 years,71876
Participation rate (%),Western Australia,Male,30-34 years,67.2
Total participants,Tasmania,Male,30-34 years,8799
Eligible participants,Tasmania,Male,30-34 years,12937
Participation rate (%),Tasmania,Male,30-34 years,68
Total participants,Northern Territory,Male,30-34 years,4010
Eligible participants,Northern Territory,Male,30-34 years,8151
Participation rate (%),Northern Territory,Male,30-34 years,49.2
Total participants,Australian Capital Territory,Male,30-34 years,10759
Eligible participants,Australian Capital Territory,Male,30-34 years,14331
Participation rate (%),Australian Capital Territory,Male,30-34 years,75.1
Total participants,Australia,Male,30-34 years,460548
Eligible participants,Australia,Male,30-34 years,665250
Participation rate (%),Australia,Male,30-34 years,69.2
Total participants,New South Wales,Male,35-39 years,149283
Eligible participants,New South Wales,Male,35-39 years,212888
Participation rate (%),New South Wales,Male,35-39 years,70.1
Total participants,Victoria,Male,35-39 years,125877
Eligible participants,Victoria,Male,35-39 years,169904
Participation rate (%),Victoria,Male,35-39 years,74.1
Total participants,Queensland,Male,35-39 years,86260
Eligible participants,Queensland,Male,35-39 years,126601
Participation rate (%),Queensland,Male,35-39 years,68.1
Total participants,South Australia,Male,35-39 years,30324
Eligible participants,South Australia,Male,35-39 years,44072
Participation rate (%),South Australia,Male,35-39 years,68.8
Total participants,Western Australia,Male,35-39 years,47395
Eligible participants,Western Australia,Male,35-39 years,69035
Participation rate (%),Western Australia,Male,35-39 years,68.7
Total participants,Tasmania,Male,35-39 years,8713
Eligible participants,Tasmania,Male,35-39 years,12762
Participation rate (%),Tasmania,Male,35-39 years,68.3
